record_ids,company_name,domain,country,industry,employee_count_min,employee_count_max,contact_email,source_captured_at_clean,merged_record_count,enrichment_status,retry_count,hiring_now,founded_year,revenue_band,tech_signals,last_funding_months_ago,score
R1066|R1068|R1059|R1067|R1061|R1064|R1065|R1062|R1057|R1069|R1060|R1056,orbit manufacturing international,orbitmanufacturing.com,India,Education,1000,540,info@orbit.com,2025-06-23,12,success,0,True,1990,$1M-$10M,react|azure|salesforce|kubernetes,3,80
R1351|R1353|R1352,QUARTZ LEGAL GLOBAL LTD,quartzlegalglobal.com,United States,Healthcare,200,240,info@quartz.com,2025-10-22,3,success,0,True,2021,$1M-$10M,stripe|segment|react,3,75
R1199|R1200|R1201,Drift Apparel Holdings Corp,driftapparelholdin.com,Germany,Insurance,20,220,contact@drift,2025-10-01,3,success,0,True,2020,$50M-$250M,datadog|kubernetes|salesforce|azure,7,75
R1441,Xenon Labs Partners Co,xenonlabspartners.com,United Kingdom,Construction,100,600,info@xenon.com,2025-08-03,1,success,1,True,,$10M-$50M,stripe|salesforce|aws|react,3,70
R1072,Quill Software Group Co,quillsoftwaregroup.com,,Insurance,130,130,info@quill.com,2025-02-08,1,success,0,True,,,salesforce|kubernetes,3,70
R1427|R1428,Willow Childcare International LLC,willowchildcareint.com,Germany,Media,200,290,info@willow.com,2025-11-03,2,success,0,True,1997,$1M-$10M,salesforce|kubernetes|gcp|datadog,26,65
R1280|R1279|R1277|R1278,"Kestrel,Security",kestrelsecurity.com,United States,Hospitality,51,200,info@kestrel.com,2025-02-26,4,success,0,True,2023,$1M-$10M,azure|gcp|salesforce|react,7,65
R1363|R1365|R1364,"Rivet,Hardware International Incorporated",rivethardwareinter.com,Australia,Energy,87,87,info@rivet.com,2025-02-03,3,success,0,True,1997,<$1M,snowflake|gcp|datadog,14,65
R1300,Mosaic Payments Holdings Ltd,mosaicpaymentshold.com,Australia,Construction,201,500,,2025-06-22,1,success,0,True,2009,$250M+,gcp|snowflake|salesforce|react,14,65
R1467,Anchor Marine Holdings,anchormarineholdin.com,India,Energy,1200,,info@anchor.com,,1,success,0,True,1986,<$1M,snowflake,3,65
R1369|R1372|R1371,saffron spices co,saffronspices.com,United States,Gaming,42,42,info@saffron.com,2025-07-08,3,success,0,True,2013,$50M-$250M,segment|datadog|salesforce,7,60
R1035|R1036,"Cedar,Systems International Ltd.",cedarsystemsintern.com,India,Telecom,100,140,info@cedar.com,2025-01-26,2,success,0,True,2009,<$1M,azure|aws|segment|python,,60
R1162|R1161,acorn education international ltd.,acorneducationinte.com,Germany,Logistics,100,300,info@acorn.com,2025-02-21,2,success,0,False,,$10M-$50M,hubspot|kubernetes|stripe|datadog,3,60
R1380|R1379,Saffron Spices Partners Co.,saffronspicespartn.com,Australia,Retail,540,,info@saffron.com,2025-03-16,2,success,0,True,,$10M-$50M,,3,60
R1131,Meridian Travel Global Corp,meridiantravelglob.com,Australia,Software,11,50,info@meridian.com,2025-07-25,1,success,0,True,1992,$250M+,react|kubernetes|azure,7,60
R1385|R1386,Thicket Gaming Group Co.,thicketgaminggroup.com,India,Gaming,501,1000,contact@thicket,2025-10-03,2,success,0,True,1986,$1M-$10M,azure|aws|stripe|hubspot,26,60
R1286,kestrel security global incorporated,kestrelsecurityglo.com,Germany,Retail,5,5,info@kestrel.com,2025-07-12,1,success,0,True,1987,$10M-$50M,hubspot|azure|python|snowflake,7,60
R1361|R1360,"Rivet,Hardware Group Ltd.",rivethardwaregroup.com,United Kingdom,Insurance,500,540,info@rivet.com,2025-08-15,2,success,0,True,2000,$1M-$10M,python|aws,14,60
R1265|R1267,Juniper Mobility Inc.,junipermobility.com,Canada,Construction,201,500,info@juniper.com,2025-11-07,2,success,0,True,2016,<$1M,datadog|hubspot,3,60
R1269|R1268,Juniper Mobility Group Incorporated,junipermobilitygro.com,United States,Finance,42,42,info@juniper.com,2025-06-11,2,success,0,True,,,kubernetes|hubspot,14,60
R1089,"harbor,health global ltd.",harborhealthglobal.com,Canada,Gaming,200,240,info@harbor.com,,1,success,0,False,1996,$50M-$250M,azure|salesforce|segment|aws,3,60
R1181|R1180,Cobalt Telecom Inc.,cobalttelecom.com,United States,Hospitality,200,400,info@cobalt.com,2025-08-09,2,success,0,True,1993,<$1M,datadog|kubernetes,14,60
R1437,Xenon Labs Group,xenonlabsgroup.com,Canada,Healthcare,,,info@xenon.com,2025-12-14,1,success,0,True,2023,$250M+,react|stripe|kubernetes,7,60
R1319|R1321|R1320|R1322,Onyx Mining Ltd.,onyxmining.com,Australia,Insurance,1,10,info@onyx.com,2025-09-02,4,success,0,True,2010,,,3,55
R1096|R1097,"VANTA,FOODS GLOBAL LTD",vantafoodsglobal.com,United States,Retail,11,50,info@vanta.com,2025-11-25,2,success,0,True,2015,$250M+,kubernetes|stripe,7,55
R1205,Drift Apparel Partners Incorporated,driftapparelpartne.com,Germany,Software,10,100,info@drift.com,2025-09-18,1,success,0,True,2008,<$1M,salesforce|snowflake,3,55
R1442,Xenon Labs Global,xenonlabsglobal.com,United States,Software,18,18,info@xenon.com,2025-05-21,1,success,0,True,2021,$1M-$10M,hubspot,14,55
R1150|R1151,"Tideline,Finance Partners Inc.",tidelinefinancepar.com,India,Pharmaceuticals,1000,1000,info@tideline.com,2025-11-19,2,success,0,False,1999,$250M+,salesforce|hubspot|azure|segment,7,55
